optimizer_step,_step,_step__MIN,_step__MAX,global_loss,global_loss__MIN,global_loss__MAX,,,,,,
32,63.5,63,64,7.56653451919556,7.55422115325928,7.57884788513184,,,,,,
33,65.5,65,66,7.48593473434448,7.43329238891602,7.53857707977295,,,,,,
34,67.5,67,68,7.34946012496948,7.3380331993103,7.36088705062866,,,,,,
35,69.5,69,70,7.35596299171448,7.31018590927124,7.40174007415772,,,,,,
36,71.5,71,72,7.15915322303772,7.14446115493774,7.1738452911377,,,,,,
37,73.5,73,74,7.22813963890076,7.18777990341187,7.26849937438965,,,,,,
38,75.5,75,76,7.15552496910095,7.12850761413574,7.18254232406616,,,,,,
39,77.5,77,78,7.12830090522766,7.08110189437866,7.17549991607666,,,,,,
40,79.5,79,80,7.08166527748108,7.05748176574707,7.10584878921509,,,,,,
41,81.5,81,82,6.91272449493408,6.7995023727417,7.02594661712647,,,,,,
42,83.5,83,84,6.94100189208984,6.91029644012451,6.97170734405518,,,,,,
43,85.5,85,86,6.89909148216248,6.80784702301025,6.9903359413147,,,,,,
44,87.5,87,88,6.94009399414063,6.84589195251465,7.0342960357666,,,,,,
45,89.5,89,90,6.86069273948669,6.79894876480103,6.92243671417236,,,,,,
46,91.5,91,92,6.82558989524841,6.80216503143311,6.84901475906372,,,,,,
47,93.5,93,94,6.81549739837647,6.7947793006897,6.83621549606323,,,,,,
48,95.5,95,96,6.80787873268127,6.78591299057007,6.82984447479248,,,,,,
49,97.5,97,98,6.79747486114502,6.78155994415283,6.81338977813721,,,,,,
50,99.5,99,100,6.72174835205078,6.64428043365479,6.79921627044678,,,,,,
51,101.5,101,102,6.69620680809021,6.66112279891968,6.73129081726074,,,,,,
52,103.5,103,104,6.6482424736023,6.59851694107056,6.69796800613403,,,,,,
53,105.5,105,106,6.67825984954834,6.67536354064941,6.68115615844727,,,,,,
54,107.5,107,108,6.64259147644043,6.64172458648682,6.64345836639404,,,,,,
55,109.5,109,110,6.54890418052673,6.52812051773071,6.56968784332275,,,,,,
56,111.5,111,112,6.54622006416321,6.47272443771362,6.61971569061279,,,,,,
57,113.5,113,114,6.54056549072266,6.47597599029541,6.6051549911499,,,,,,
58,115.5,115,116,6.54854464530945,6.52024745941162,6.57684183120728,,,,,,
59,117.5,117,118,6.44135236740112,6.42082118988037,6.46188354492188,,,,,,
60,119.5,119,120,6.4140944480896,6.3461275100708,6.4820613861084,,,,,,
61,121.5,121,122,6.42397570610046,6.37468528747559,6.47326612472534,,,,,,
62,123.5,123,124,6.40855479240418,6.29320907592773,6.52390050888062,,,,,,
63,125.5,125,126,6.35336422920227,6.33840322494507,6.36832523345947,,,,,,
64,127.5,127,128,6.38129663467407,6.34493780136108,6.41765546798706,,,,,,
65,129.5,129,130,6.30021524429321,6.25640773773193,6.34402275085449,,,,,,
66,131.5,131,132,6.26984167098999,6.25948810577393,6.28019523620606,,,,,,
67,133.5,133,134,6.23677659034729,6.15471172332764,6.31884145736694,,,,,,
68,135.5,135,136,6.2631516456604,6.22172260284424,6.30458068847656,,,,,,
69,137.5,137,138,6.18722438812256,6.12553119659424,6.24891757965088,,,,,,
70,139.5,139,140,6.20805430412293,6.19685649871826,6.21925210952759,,,,,,
71,141.5,141,142,6.06963634490967,6.06943798065186,6.06983470916748,,,,,,
72,143.5,143,144,6.05435824394226,5.9378924369812,6.17082405090332,,,,,,
73,145.5,145,146,6.09927940368652,6.03118419647217,6.16737461090088,,,,,,
74,147.5,147,148,6.17793726921082,6.16590404510498,6.18997049331665,,,,,,
75,149.5,149,150,6.03898978233337,6.03802537918091,6.03995418548584,,,,,,
76,151.5,151,152,6.04913544654846,6.01227998733521,6.08599090576172,,,,,,
77,153.5,153,154,5.94245052337647,5.9149808883667,5.96992015838623,,,,,,
78,155.5,155,156,6.00245141983032,5.93867206573486,6.06623077392578,,,,,,
79,157.5,157,158,5.94496440887451,5.89682245254517,5.99310636520386,,,,,,
