optimizer_step,_step,_step__MIN,_step__MAX,val_loss_1,val_loss_1__MIN,val_loss_1__MAX,val_loss_2,val_loss_2__MIN,val_loss_2__MAX,val_loss_4,val_loss_4__MIN,val_loss_4__MAX,val_loss_8,val_loss_8__MIN,val_loss_8__MAX,val_loss_16,val_loss_16__MIN,val_loss_16__MAX,,,,,,,,,,,,,,,,,,
16,31,31,31,10.0492839813232,10.0492839813232,10.0492839813232,9.68115425109863,9.68115425109863,9.68115425109863,9.54353618621826,9.54353618621826,9.54353618621826,9.50157928466797,9.50157928466797,9.50157928466797,9.4811429977417,9.4811429977417,9.4811429977417,,,,,,,,,,,,,,,,,,
32,63,63,63,7.75211429595947,7.75211429595947,7.75211429595947,7.66458654403687,7.66458654403687,7.66458654403687,7.63091897964478,7.63091897964478,7.63091897964478,7.62275314331055,7.62275314331055,7.62275314331055,7.62249374389648,7.62249374389648,7.62249374389648,,,,,,,,,,,,,,,,,,
48,95,95,95,7.11970281600952,7.11970281600952,7.11970281600952,6.96986055374146,6.96986055374146,6.96986055374146,6.91337728500366,6.91337728500366,6.91337728500366,6.90160083770752,6.90160083770752,6.90160083770752,6.90121221542358,6.90121221542358,6.90121221542358,,,,,,,,,,,,,,,,,,
64,127,127,127,6.81215190887451,6.81215190887451,6.81215190887451,6.58527088165283,6.58527088165283,6.58527088165283,6.48132658004761,6.48132658004761,6.48132658004761,6.46397638320923,6.46397638320923,6.46397638320923,6.46351528167725,6.46351528167725,6.46351528167725,,,,,,,,,,,,,,,,,,
80,159,159,159,6.56326866149902,6.56326866149902,6.56326866149902,6.25179576873779,6.25179576873779,6.25179576873779,6.11021232604981,6.11021232604981,6.11021232604981,6.08584356307983,6.08584356307983,6.08584356307983,6.08516883850098,6.08516883850098,6.08516883850098,,,,,,,,,,,,,,,,,,
96,191,191,191,6.38640213012695,6.38640213012695,6.38640213012695,6.01558065414429,6.01558065414429,6.01558065414429,5.8566198348999,5.8566198348999,5.8566198348999,5.82941627502441,5.82941627502441,5.82941627502441,5.82862854003906,5.82862854003906,5.82862854003906,,,,,,,,,,,,,,,,,,
112,223,223,223,6.25235319137573,6.25235319137573,6.25235319137573,5.84166526794434,5.84166526794434,5.84166526794434,5.67010498046875,5.67010498046875,5.67010498046875,5.64221858978272,5.64221858978272,5.64221858978272,5.64135026931763,5.64135026931763,5.64135026931763,,,,,,,,,,,,,,,,,,
128,255,255,255,6.16072511672974,6.16072511672974,6.16072511672974,5.71851778030396,5.71851778030396,5.71851778030396,5.53614521026611,5.53614521026611,5.53614521026611,5.50843143463135,5.50843143463135,5.50843143463135,5.50829887390137,5.50829887390137,5.50829887390137,,,,,,,,,,,,,,,,,,
144,287,287,287,6.07156753540039,6.07156753540039,6.07156753540039,5.60595655441284,5.60595655441284,5.60595655441284,5.41692066192627,5.41692066192627,5.41692066192627,5.38718700408936,5.38718700408936,5.38718700408936,5.38695335388184,5.38695335388184,5.38695335388184,,,,,,,,,,,,,,,,,,
160,319,319,319,5.99205684661865,5.99205684661865,5.99205684661865,5.51481819152832,5.51481819152832,5.51481819152832,5.3181939125061,5.3181939125061,5.3181939125061,5.28715133666992,5.28715133666992,5.28715133666992,5.28630495071411,5.28630495071411,5.28630495071411,,,,,,,,,,,,,,,,,,
176,351,351,351,5.9249382019043,5.9249382019043,5.9249382019043,5.42878246307373,5.42878246307373,5.42878246307373,5.22477245330811,5.22477245330811,5.22477245330811,5.19225406646729,5.19225406646729,5.19225406646729,5.19113445281982,5.19113445281982,5.19113445281982,,,,,,,,,,,,,,,,,,
192,383,383,383,5.88663005828857,5.88663005828857,5.88663005828857,5.36394023895264,5.36394023895264,5.36394023895264,5.15126705169678,5.15126705169678,5.15126705169678,5.11798000335693,5.11798000335693,5.11798000335693,5.11645269393921,5.11645269393921,5.11645269393921,,,,,,,,,,,,,,,,,,
