optimizer_step,_step,_step__MIN,_step__MAX,global_grad_norm,global_grad_norm__MIN,global_grad_norm__MAX,,,,,,
35,69,69,69,0.606817543506622,0.606817543506622,0.606817543506622,,,,,,
36,71,71,71,0.665555238723755,0.665555238723755,0.665555238723755,,,,,,
37,73,73,73,0.528744101524353,0.528744101524353,0.528744101524353,,,,,,
38,75,75,75,0.547088801860809,0.547088801860809,0.547088801860809,,,,,,
39,77,77,77,0.525292634963989,0.525292634963989,0.525292634963989,,,,,,
40,79,79,79,0.506879091262817,0.506879091262817,0.506879091262817,,,,,,
41,81,81,81,0.501196444034576,0.501196444034576,0.501196444034576,,,,,,
42,83,83,83,0.368926584720612,0.368926584720612,0.368926584720612,,,,,,
43,85,85,85,0.52486777305603,0.52486777305603,0.52486777305603,,,,,,
44,87,87,87,0.403289288282394,0.403289288282394,0.403289288282394,,,,,,
45,89,89,89,0.391425251960754,0.391425251960754,0.391425251960754,,,,,,
46,91,91,91,0.44903638958931,0.44903638958931,0.44903638958931,,,,,,
47,93,93,93,0.309558063745499,0.309558063745499,0.309558063745499,,,,,,
48,95,95,95,0.362447053194046,0.362447053194046,0.362447053194046,,,,,,
49,97,97,97,0.389844357967377,0.389844357967377,0.389844357967377,,,,,,
50,99,99,99,0.31914758682251,0.31914758682251,0.31914758682251,,,,,,
51,101,101,101,0.44239667057991,0.44239667057991,0.44239667057991,,,,,,
52,103,103,103,0.385071188211441,0.385071188211441,0.385071188211441,,,,,,
53,105,105,105,0.360714882612228,0.360714882612228,0.360714882612228,,,,,,
54,107,107,107,0.580558836460114,0.580558836460114,0.580558836460114,,,,,,
55,109,109,109,0.717446863651276,0.717446863651276,0.717446863651276,,,,,,
56,111,111,111,0.453158527612686,0.453158527612686,0.453158527612686,,,,,,
57,113,113,113,0.936878800392151,0.936878800392151,0.936878800392151,,,,,,
58,115,115,115,0.475957602262497,0.475957602262497,0.475957602262497,,,,,,
59,117,117,117,0.865953385829926,0.865953385829926,0.865953385829926,,,,,,
60,119,119,119,0.489397019147873,0.489397019147873,0.489397019147873,,,,,,
61,121,121,121,1.03795194625855,1.03795194625855,1.03795194625855,,,,,,
62,123,123,123,0.430851489305496,0.430851489305496,0.430851489305496,,,,,,
63,125,125,125,0.955783843994141,0.955783843994141,0.955783843994141,,,,,,
64,127,127,127,0.576410055160523,0.576410055160523,0.576410055160523,,,,,,
65,129,129,129,0.832458913326263,0.832458913326263,0.832458913326263,,,,,,
66,131,131,131,0.679862141609192,0.679862141609192,0.679862141609192,,,,,,
67,133,133,133,0.478752195835114,0.478752195835114,0.478752195835114,,,,,,
68,135,135,135,0.686400592327118,0.686400592327118,0.686400592327118,,,,,,
69,137,137,137,0.492141336202621,0.492141336202621,0.492141336202621,,,,,,
