"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - global_grad_norm","recur1b-mig-234 - global_grad_norm__MIN","recur1b-mig-234 - global_grad_norm__MAX"
"1468","75","75","75","0.4615924060344696","0.4615924060344696","0.4615924060344696"
"1469","77","77","77","0.4640807807445526","0.4640807807445526","0.4640807807445526"
"1470","79","79","79","0.46832337975502014","0.46832337975502014","0.46832337975502014"
"1471","81","81","81","0.41863545775413513","0.41863545775413513","0.41863545775413513"
"1472","83","83","83","0.4049786627292633","0.4049786627292633","0.4049786627292633"
"1473","85","85","85","0.416996031999588","0.416996031999588","0.416996031999588"
"1474","87","87","87","0.42424705624580383","0.42424705624580383","0.42424705624580383"
"1475","89","89","89","0.4327213168144226","0.4327213168144226","0.4327213168144226"
"1476","91","91","91","0.4306020140647888","0.4306020140647888","0.4306020140647888"
"1477","93","93","93","0.5404636859893799","0.5404636859893799","0.5404636859893799"
"1478","95","95","95","0.6163392066955566","0.6163392066955566","0.6163392066955566"
"1479","97","97","97","0.692234992980957","0.692234992980957","0.692234992980957"
"1480","99","99","99","0.6561973690986633","0.6561973690986633","0.6561973690986633"
"1481","101","101","101","0.5225329399108887","0.5225329399108887","0.5225329399108887"
"1482","103","103","103","0.45306873321533203","0.45306873321533203","0.45306873321533203"
"1483","105","105","105","0.48702606558799744","0.48702606558799744","0.48702606558799744"
"1484","107","107","107","0.6145326495170593","0.6145326495170593","0.6145326495170593"
"1485","109","109","109","0.6051879525184631","0.6051879525184631","0.6051879525184631"
"1486","111","111","111","0.5361496806144714","0.5361496806144714","0.5361496806144714"
"1487","113","113","113","0.5061600804328918","0.5061600804328918","0.5061600804328918"
"1488","115","115","115","0.5377773642539978","0.5377773642539978","0.5377773642539978"
"1489","117","117","117","0.568121075630188","0.568121075630188","0.568121075630188"
"1490","119","119","119","0.5568326711654663","0.5568326711654663","0.5568326711654663"
"1491","121","121","121","0.7788166999816895","0.7788166999816895","0.7788166999816895"
"1492","123","123","123","0.8135401010513306","0.8135401010513306","0.8135401010513306"
"1493","125","125","125","0.5474905967712402","0.5474905967712402","0.5474905967712402"
"1494","127","127","127","0.6002406477928162","0.6002406477928162","0.6002406477928162"
"1495","129","129","129","0.7194907069206238","0.7194907069206238","0.7194907069206238"
"1496","131","131","131","0.581193208694458","0.581193208694458","0.581193208694458"
"1497","133","133","133","0.6128160953521729","0.6128160953521729","0.6128160953521729"
"1498","135","135","135","0.6344379782676697","0.6344379782676697","0.6344379782676697"
"1499","137","137","137","0.5458592176437378","0.5458592176437378","0.5458592176437378"
"1500","139","139","139","0.5981563925743103","0.5981563925743103","0.5981563925743103"
"1501","141","141","141","0.640649139881134","0.640649139881134","0.640649139881134"
"1502","143","143","143","0.7269806265830994","0.7269806265830994","0.7269806265830994"
"1503","145","145","145","0.7294490337371826","0.7294490337371826","0.7294490337371826"
