"optimizer_step","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - word_embed_l2_param_norm","recur1b-mig-212 - word_embed_l2_param_norm__MIN","recur1b-mig-212 - word_embed_l2_param_norm__MAX"
"90","179","179","179","118.04553985595703","118.04553985595703","118.04553985595703"
"91","181","181","181","118.1107177734375","118.1107177734375","118.1107177734375"
"92","183","183","183","118.1756820678711","118.1756820678711","118.1756820678711"
"93","185","185","185","118.24081420898438","118.24081420898438","118.24081420898438"
"94","187","187","187","118.30599212646484","118.30599212646484","118.30599212646484"
"95","189","189","189","118.37091827392578","118.37091827392578","118.37091827392578"
"96","191","191","191","118.43576049804688","118.43576049804688","118.43576049804688"
"97","193","193","193","118.50060272216797","118.50060272216797","118.50060272216797"
"98","195","195","195","118.5648193359375","118.5648193359375","118.5648193359375"
"99","197","197","197","118.6292724609375","118.6292724609375","118.6292724609375"
"100","199","199","199","118.693603515625","118.693603515625","118.693603515625"
"101","201","201","201","118.75794219970703","118.75794219970703","118.75794219970703"
"102","203","203","203","118.82232666015625","118.82232666015625","118.82232666015625"
"103","205","205","205","118.88678741455078","118.88678741455078","118.88678741455078"
"104","207","207","207","118.95125579833984","118.95125579833984","118.95125579833984"
"105","209","209","209","119.01571655273438","119.01571655273438","119.01571655273438"
"106","211","211","211","119.08003234863281","119.08003234863281","119.08003234863281"
"107","213","213","213","119.14450073242188","119.14450073242188","119.14450073242188"
"108","215","215","215","119.20921325683594","119.20921325683594","119.20921325683594"
"109","217","217","217","119.27388000488281","119.27388000488281","119.27388000488281"
"110","219","219","219","119.33843231201172","119.33843231201172","119.33843231201172"
"111","221","221","221","119.4031753540039","119.4031753540039","119.4031753540039"
"112","223","223","223","119.4679183959961","119.4679183959961","119.4679183959961"
"113","225","225","225","119.53251647949219","119.53251647949219","119.53251647949219"
"114","227","227","227","119.59737396240234","119.59737396240234","119.59737396240234"
"115","229","229","229","119.66183471679688","119.66183471679688","119.66183471679688"
"116","231","231","231","119.72618865966797","119.72618865966797","119.72618865966797"
"117","233","233","233","119.79095458984375","119.79095458984375","119.79095458984375"
"118","235","235","235","119.85536193847656","119.85536193847656","119.85536193847656"
"119","237","237","237","119.91957092285156","119.91957092285156","119.91957092285156"
"120","239","239","239","119.98383331298828","119.98383331298828","119.98383331298828"
"121","241","241","241","120.04776763916016","120.04776763916016","120.04776763916016"
"122","243","243","243","120.11138153076172","120.11138153076172","120.11138153076172"
"123","245","245","245","120.17510223388672","120.17510223388672","120.17510223388672"
"124","247","247","247","120.23868560791016","120.23868560791016","120.23868560791016"
"125","249","249","249","120.30207824707031","120.30207824707031","120.30207824707031"
