"optimizer_step","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - global_loss","recur1b-mig-212 - global_loss__MIN","recur1b-mig-212 - global_loss__MAX"
"31","61.5","61","62","7.546998500823975","7.545506477355957","7.548490524291992"
"32","63.5","63","64","7.566534519195557","7.554221153259277","7.578847885131836"
"33","65.5","65","66","7.485934734344482","7.433292388916016","7.538577079772949"
"34","67.5","67","68","7.349460124969482","7.338033199310303","7.360887050628662"
"35","69.5","69","70","7.3559629917144775","7.31018590927124","7.401740074157715"
"36","71.5","71","72","7.15915322303772","7.144461154937744","7.173845291137695"
"37","73.5","73","74","7.228139638900757","7.187779903411865","7.268499374389648"
"38","75.5","75","76","7.155524969100952","7.128507614135742","7.182542324066162"
"39","77.5","77","78","7.128300905227661","7.081101894378662","7.17549991607666"
"40","79.5","79","80","7.081665277481079","7.05748176574707","7.105848789215088"
"41","81.5","81","82","6.912724494934082","6.799502372741699","7.025946617126465"
"42","83.5","83","84","6.941001892089844","6.910296440124512","6.971707344055176"
"43","85.5","85","86","6.899091482162476","6.807847023010254","6.990335941314697"
"44","87.5","87","88","6.940093994140625","6.845891952514648","7.034296035766602"
"45","89.5","89","90","6.860692739486694","6.798948764801025","6.922436714172363"
"46","91.5","91","92","6.825589895248413","6.8021650314331055","6.849014759063721"
"47","93.5","93","94","6.815497398376465","6.794779300689697","6.836215496063232"
"48","95.5","95","96","6.807878732681274","6.785912990570068","6.8298444747924805"
"49","97.5","97","98","6.7974748611450195","6.781559944152832","6.813389778137207"
"50","99.5","99","100","6.721748352050781","6.644280433654785","6.799216270446777"
"51","101.5","101","102","6.69620680809021","6.661122798919678","6.731290817260742"
"52","103.5","103","104","6.648242473602295","6.598516941070557","6.697968006134033"
"53","105.5","105","106","6.67825984954834","6.675363540649414","6.681156158447266"
"54","107.5","107","108","6.64259147644043","6.641724586486816","6.643458366394043"
"55","109.5","109","110","6.548904180526733","6.528120517730713","6.569687843322754"
"56","111.5","111","112","6.546220064163208","6.472724437713623","6.619715690612793"
"57","113.5","113","114","6.540565490722656","6.47597599029541","6.605154991149902"
"58","115.5","115","116","6.548544645309448","6.520247459411621","6.576841831207275"
"59","117.5","117","118","6.441352367401123","6.420821189880371","6.461883544921875"
"60","119.5","119","120","6.4140944480896","6.346127510070801","6.482061386108398"
"61","121.5","121","122","6.423975706100464","6.374685287475586","6.473266124725342"
"62","123.5","123","124","6.408554792404175","6.293209075927734","6.523900508880615"
"63","125.5","125","126","6.3533642292022705","6.338403224945068","6.368325233459473"
"64","127.5","127","128","6.381296634674072","6.344937801361084","6.4176554679870605"
"65","129.5","129","130","6.300215244293213","6.256407737731934","6.344022750854492"
"66","131.5","131","132","6.26984167098999","6.259488105773926","6.280195236206055"
"67","133.5","133","134","6.23677659034729","6.154711723327637","6.318841457366943"
"68","135.5","135","136","6.2631516456604","6.221722602844238","6.3045806884765625"
"69","137.5","137","138","6.187224388122559","6.125531196594238","6.248917579650879"
"70","139.5","139","140","6.208054304122925","6.196856498718262","6.219252109527588"
"71","141.5","141","142","6.069636344909668","6.0694379806518555","6.0698347091674805"
"72","143.5","143","144","6.054358243942261","5.937892436981201","6.17082405090332"
"73","145.5","145","146","6.099279403686523","6.031184196472168","6.167374610900879"
"74","147.5","147","148","6.177937269210815","6.1659040451049805","6.18997049331665"
"75","149.5","149","150","6.038989782333374","6.038025379180908","6.03995418548584"
"76","151.5","151","152","6.049135446548462","6.012279987335205","6.085990905761719"
"77","153.5","153","154","5.942450523376465","5.914980888366699","5.9699201583862305"
"78","155.5","155","156","6.002451419830322","5.938672065734863","6.066230773925781"
"79","157.5","157","158","5.944964408874512","5.896822452545166","5.993106365203857"
"80","159.5","159","160","5.983946323394775","5.981128215789795","5.986764430999756"
"81","161.5","161","162","5.912800312042236","5.880419731140137","5.945180892944336"
"82","163.5","163","164","5.916407585144043","5.8889923095703125","5.943822860717773"
"83","165.5","165","166","5.947200536727905","5.9315385818481445","5.962862491607666"
"84","167.5","167","168","5.889257431030273","5.843130111694336","5.935384750366211"
"85","169.5","169","170","5.83758807182312","5.789106369018555","5.8860697746276855"
"86","171.5","171","172","5.899866342544556","5.881503105163574","5.918229579925537"
"87","173.5","173","174","5.847477912902832","5.759890556335449","5.935065269470215"
"88","175.5","175","176","5.824894428253174","5.7958984375","5.853890419006348"
"89","177.5","177","178","5.825277328491211","5.781332492828369","5.869222164154053"
"90","179.5","179","180","5.7547619342803955","5.680439472198486","5.829084396362305"
"91","181.5","181","182","5.824851036071777","5.817286014556885","5.83241605758667"
"92","183.5","183","184","5.771483898162842","5.704216003417969","5.838751792907715"
"93","185.5","185","186","5.7409422397613525","5.725596904754639","5.756287574768066"
"94","187.5","187","188","5.783203125","5.7575483322143555","5.8088579177856445"
"95","189.5","189","190","5.752055644989014","5.74073600769043","5.763375282287598"
"96","191.5","191","192","5.726309299468994","5.724144458770752","5.728474140167236"
"97","193.5","193","194","5.780522108078003","5.751903057098389","5.809141159057617"
"98","195.5","195","196","5.69243860244751","5.675098896026611","5.709778308868408"
"99","197.5","197","198","5.640781879425049","5.566389083862305","5.715174674987793"
"100","199.5","199","200","5.722581624984741","5.676006317138672","5.7691569328308105"
"101","201.5","201","202","5.630921840667725","5.571895599365234","5.689948081970215"
"102","203.5","203","204","5.640361070632935","5.621803283691406","5.658918857574463"
"103","205.5","205","206","5.598191738128662","5.567859172821045","5.628524303436279"
"104","207.5","207","208","5.641391754150391","5.620542526245117","5.662240982055664"
"105","209.5","209","210","5.591128587722778","5.5519609451293945","5.630296230316162"
"106","211.5","211","212","5.578502893447876","5.557961940765381","5.599043846130371"
"107","213.5","213","214","5.619662761688232","5.591135025024414","5.648190498352051"
"108","215.5","215","216","5.5881781578063965","5.586381912231445","5.589974403381348"
"109","217.5","217","218","5.570412635803223","5.557135581970215","5.5836896896362305"
"110","219.5","219","220","5.517902612686157","5.516273498535156","5.519531726837158"
"111","221.5","221","222","5.528465509414673","5.520866870880127","5.536064147949219"
"112","223.5","223","224","5.481856107711792","5.460219860076904","5.50349235534668"
"113","225.5","225","226","5.519502639770508","5.4580254554748535","5.580979824066162"
"114","227.5","227","228","5.544269561767578","5.535369873046875","5.553169250488281"
"115","229.5","229","230","5.464622974395752","5.437715530395508","5.491530418395996"
"116","231.5","231","232","5.421130657196045","5.376288414001465","5.465972900390625"
"117","233.5","233","234","5.477079391479492","5.453241348266602","5.500917434692383"
"118","235.5","235","236","5.480966806411743","5.457526206970215","5.5044074058532715"
"119","237.5","237","238","5.486325025558472","5.468901634216309","5.503748416900635"
"120","239.5","239","240","5.408428430557251","5.364786624908447","5.452070236206055"
"121","241.5","241","242","5.45367169380188","5.396880149841309","5.510463237762451"
"122","243.5","243","244","5.439076900482178","5.438570022583008","5.439583778381348"
"123","245.5","245","246","5.390748977661133","5.358885765075684","5.422612190246582"
"124","247.5","247","248","5.4362781047821045","5.3973283767700195","5.4752278327941895"
"125","249.5","249","250","5.427537679672241","5.377645015716553","5.47743034362793"
"126","251.5","251","252","5.369839906692505","5.327399253845215","5.412280559539795"
"127","253.5","253","254","5.3724365234375","5.349010467529297","5.395862579345703"
"128","255.5","255","256","5.35797643661499","5.285867691040039","5.430085182189941"
"129","257.5","257","258","5.362640142440796","5.359968185424805","5.365312099456787"
"130","259.5","259","260","5.305999517440796","5.293247222900391","5.318751811981201"
"131","261.5","261","262","5.3349645137786865","5.31620454788208","5.353724479675293"
"132","263.5","263","264","5.365391492843628","5.361159801483154","5.369623184204102"
"133","265.5","265","266","5.355430364608765","5.354987144470215","5.3558735847473145"
"134","267.5","267","268","5.3752360343933105","5.364995002746582","5.385477066040039"
"135","269.5","269","270","5.3523828983306885","5.298158645629883","5.406607151031494"
"136","271.5","271","272","5.335115909576416","5.327956199645996","5.342275619506836"
"137","273.5","273","274","5.345895051956177","5.315441131591797","5.376348972320557"
"138","275.5","275","276","5.349570989608765","5.345747947692871","5.353394031524658"
"139","277.5","277","278","5.243410587310791","5.209009170532227","5.2778120040893555"
"140","279.5","279","280","5.296775579452515","5.287230491638184","5.306320667266846"
"141","281.5","281","282","5.254019737243652","5.249652862548828","5.258386611938477"
"142","283.5","283","284","5.229572534561157","5.198233604431152","5.260911464691162"
"143","285.5","285","286","5.276663541793823","5.2575531005859375","5.295773983001709"
"144","287.5","287","288","5.242077827453613","5.233384609222412","5.2507710456848145"
"145","289.5","289","290","5.251545190811157","5.236058712005615","5.267031669616699"
"146","291.5","291","292","5.270093202590942","5.221953392028809","5.318233013153076"
"147","293.5","293","294","5.197942018508911","5.147508144378662","5.24837589263916"
"148","295.5","295","296","5.20982027053833","5.166817665100098","5.2528228759765625"
"149","297.5","297","298","5.250019550323486","5.2368879318237305","5.263151168823242"
"150","299.5","299","300","5.265151262283325","5.242805480957031","5.287497043609619"
"151","301.5","301","302","5.224730968475342","5.149161338806152","5.300300598144531"
"152","303.5","303","304","5.221775054931641","5.1624436378479","5.281106472015381"
"153","305.5","305","306","5.171566963195801","5.144740581512451","5.19839334487915"
"154","307.5","307","308","5.182527542114258","5.175893783569336","5.18916130065918"
"155","309.5","309","310","5.194798946380615","5.155324935913086","5.2342729568481445"
"156","311.5","311","312","5.188229560852051","5.173270225524902","5.203188896179199"
"157","313.5","313","314","5.2227630615234375","5.1847968101501465","5.2607293128967285"
"158","315.5","315","316","5.1018407344818115","5.097843170166016","5.105838298797607"
"159","317.5","317","318","5.134266376495361","5.108320236206055","5.160212516784668"
"160","319.5","319","320","5.172187089920044","5.150589466094971","5.193784713745117"
"161","321.5","321","322","5.144342660903931","5.10945987701416","5.179225444793701"
"162","323.5","323","324","5.144257545471191","5.1165618896484375","5.171953201293945"
"163","325.5","325","326","5.158891677856445","5.153481483459473","5.164301872253418"
"164","327.5","327","328","5.085864543914795","5.075140476226807","5.096588611602783"
"165","329.5","329","330","5.143837928771973","5.1076483726501465","5.180027484893799"
"166","331.5","331","332","5.086556673049927","4.991997241973877","5.181116104125977"
"167","333.5","333","334","5.126012325286865","5.072471618652344","5.179553031921387"
"168","335.5","335","336","5.098083972930908","5.037400245666504","5.1587677001953125"
"169","337.5","337","338","5.065029621124268","5.023137092590332","5.106922149658203"
"170","339.5","339","340","5.059454679489136","5.023043155670166","5.0958662033081055"
"171","341.5","341","342","5.064412593841553","5.046992301940918","5.0818328857421875"
"172","343.5","343","344","5.111210107803345","5.085232257843018","5.137187957763672"
"173","345.5","345","346","5.105825424194336","5.082888603210449","5.128762245178223"
"174","347.5","347","348","5.015651702880859","4.908842086791992","5.122461318969727"
"175","349.5","349","350","5.089067697525024","5.083535194396973","5.094600200653076"
"176","351.5","351","352","5.054627180099487","5.032435417175293","5.076818943023682"
"177","353.5","353","354","5.075815439224243","5.05134391784668","5.100286960601807"
"178","355.5","355","356","5.021866798400879","4.992776870727539","5.050956726074219"
"179","357.5","357","358","5.039307117462158","5.031042098999023","5.047572135925293"
"180","359.5","359","360","5.001423358917236","4.960675239562988","5.042171478271484"
"181","361.5","361","362","5.019920110702515","4.9367146492004395","5.10312557220459"
"182","363.5","363","364","5.035444498062134","5.017156600952148","5.053732395172119"
"183","365.5","365","366","5.018448829650879","4.98764705657959","5.049250602722168"
"184","367.5","367","368","5.041959524154663","4.977337837219238","5.106581211090088"
"185","369.5","369","370","4.9996912479400635","4.961361885070801","5.038020610809326"
"186","371.5","371","372","5.024292230606079","4.958186149597168","5.09039831161499"
"187","373.5","373","374","4.944073915481567","4.892827987670898","4.995319843292236"
"188","375.5","375","376","4.960133075714111","4.926716327667236","4.993549823760986"
"189","377.5","377","378","4.8836510181427","4.857017517089844","4.910284519195557"
"190","379.5","379","380","4.890763521194458","4.828873157501221","4.952653884887695"
"191","381.5","381","382","4.914729595184326","4.858405113220215","4.9710540771484375"
"192","383.5","383","384","4.866737127304077","4.749851226806641","4.983623027801514"
"193","385.5","385","386","4.889028072357178","4.790101528167725","4.987954616546631"
"194","387.5","387","388","4.90287184715271","4.852351188659668","4.953392505645752"
"195","389.5","389","390","4.92060923576355","4.899418354034424","4.941800117492676"
"196","391.5","391","392","4.946061372756958","4.913227558135986","4.97889518737793"
"197","393.5","393","394","4.997981548309326","4.981081962585449","5.014881134033203"
"198","395.5","395","396","4.959365367889404","4.954435348510742","4.964295387268066"
"199","397.5","397","398","4.944332599639893","4.932116508483887","4.956548690795898"
"200","399.5","399","400","4.8746137619018555","4.860836505889893","4.888391017913818"
"201","401.5","401","402","4.956792116165161","4.931290149688721","4.982294082641602"
"202","403.5","403","404","4.9120893478393555","4.905381202697754","4.918797492980957"
"203","405.5","405","406","4.96577787399292","4.945777893066406","4.985777854919434"
"204","407.5","407","408","4.889209747314453","4.833950519561768","4.944468975067139"
"205","409.5","409","410","4.883901834487915","4.812350273132324","4.955453395843506"
"206","411.5","411","412","4.920823335647583","4.908199310302734","4.933447360992432"
"207","413.5","413","414","4.83986234664917","4.810894966125488","4.868829727172852"
"208","415.5","415","416","4.905575752258301","4.857097148895264","4.954054355621338"
"209","417.5","417","418","4.906943082809448","4.8731513023376465","4.94073486328125"
"210","419.5","419","420","4.886686086654663","4.858985424041748","4.914386749267578"
"211","421.5","421","422","4.855272054672241","4.7966203689575195","4.913923740386963"
"212","423.5","423","424","4.834874391555786","4.826696872711182","4.843051910400391"
"213","425.5","425","426","4.860195636749268","4.828566074371338","4.891825199127197"
"214","427.5","427","428","4.819413900375366","4.816802501678467","4.822025299072266"
"215","429.5","429","430","4.791871070861816","4.723237991333008","4.860504150390625"
"216","431.5","431","432","4.831623315811157","4.780733585357666","4.882513046264648"
"217","433.5","433","434","4.787328481674194","4.784179210662842","4.790477752685547"
"218","435.5","435","436","4.772583961486816","4.696208953857422","4.848958969116211"
"219","437.5","437","438","4.8111584186553955","4.776425838470459","4.845890998840332"
"220","439.5","439","440","4.8026511669158936","4.7444000244140625","4.860902309417725"
"221","441.5","441","442","4.775052547454834","4.740683078765869","4.809422016143799"
"222","443.5","443","444","4.795363426208496","4.7092485427856445","4.881478309631348"
"223","445.5","445","446","4.883268117904663","4.8811235427856445","4.885412693023682"
"224","447.5","447","448","4.800793170928955","4.78607177734375","4.81551456451416"
"225","449.5","449","450","4.770106554031372","4.762548446655273","4.777664661407471"
"226","451.5","451","452","4.810280084609985","4.794775485992432","4.825784683227539"
"227","453.5","453","454","4.758594989776611","4.673982620239258","4.843207359313965"
"228","455.5","455","456","4.75176477432251","4.737983703613281","4.765545845031738"
"229","457.5","457","458","4.7947471141815186","4.724922180175781","4.864572048187256"
"230","459.5","459","460","4.805124759674072","4.803040504455566","4.807209014892578"
"231","461.5","461","462","4.785682678222656","4.754113674163818","4.817251682281494"
"232","463.5","463","464","4.7619030475616455","4.714629650115967","4.809176445007324"
"233","465.5","465","466","4.717205286026001","4.663202285766602","4.7712082862854"
"234","467.5","467","468","4.752850294113159","4.716143608093262","4.789556980133057"
"235","469.5","469","470","4.706937074661255","4.700305938720703","4.713568210601807"
"236","471.5","471","472","4.712194442749023","4.7054033279418945","4.718985557556152"
"237","473.5","473","474","4.654114246368408","4.6100969314575195","4.698131561279297"
"238","475.5","475","476","4.732777833938599","4.674089431762695","4.791466236114502"
"239","477.5","477","478","4.710640907287598","4.683342456817627","4.737939357757568"
"240","479.5","479","480","4.732032299041748","4.6803412437438965","4.7837233543396"
"241","481.5","481","482","4.6972997188568115","4.695651054382324","4.698948383331299"
"242","483.5","483","484","4.757626533508301","4.731029033660889","4.784224033355713"
"243","485.5","485","486","4.7267069816589355","4.677475929260254","4.775938034057617"
"244","487.5","487","488","4.752264022827148","4.734841346740723","4.769686698913574"
"245","489.5","489","490","4.754640102386475","4.734386444091797","4.774893760681152"
"246","491.5","491","492","4.679984092712402","4.628030776977539","4.731937408447266"
"247","493.5","493","494","4.693557977676392","4.6639404296875","4.723175525665283"
"248","495.5","495","496","4.665493488311768","4.6575422286987305","4.673444747924805"
"249","497.5","497","498","4.682541608810425","4.663192272186279","4.70189094543457"
"250","499.5","499","500","4.640468597412109","4.600234031677246","4.680703163146973"
"251","501.5","501","502","4.724540710449219","4.70313835144043","4.745943069458008"
"252","503.5","503","504","4.620514869689941","4.619946479797363","4.6210832595825195"
"253","505.5","505","506","4.61720609664917","4.579834938049316","4.654577255249023"
"254","507.5","507","508","4.689136266708374","4.658740520477295","4.719532012939453"
"255","509.5","509","510","4.690305471420288","4.657517910003662","4.723093032836914"
"256","511.5","511","512","4.63563346862793","4.585392475128174","4.6858744621276855"
"257","513.5","513","514","4.662915229797363","4.6029229164123535","4.722907543182373"
"258","515.5","515","516","4.659561634063721","4.606934547424316","4.712188720703125"
"259","517.5","517","518","4.64201807975769","4.603785037994385","4.680251121520996"
"260","519.5","519","520","4.606266498565674","4.568200588226318","4.644332408905029"
"261","521.5","521","522","4.624539613723755","4.622815132141113","4.6262640953063965"
"262","523.5","523","524","4.604508399963379","4.512892723083496","4.696124076843262"
"263","525.5","525","526","4.6072938442230225","4.528928756713867","4.685658931732178"
"264","527.5","527","528","4.59012508392334","4.551436424255371","4.628813743591309"
"265","529.5","529","530","4.57542085647583","4.553798198699951","4.597043514251709"
"266","531.5","531","532","4.630685091018677","4.571271896362305","4.690098285675049"
"267","533.5","533","534","4.642175674438477","4.63504695892334","4.649304389953613"
"268","535.5","535","536","4.605377912521362","4.556359767913818","4.654396057128906"
"269","537.5","537","538","4.625095844268799","4.611640453338623","4.638551235198975"
"270","539.5","539","540","4.557080507278442","4.489384174346924","4.624776840209961"
"271","541.5","541","542","4.564850807189941","4.533398628234863","4.5963029861450195"
"272","543.5","543","544","4.6575822830200195","4.639767646789551","4.675396919250488"
"273","545.5","545","546","4.572861194610596","4.544961929321289","4.600760459899902"
"274","547.5","547","548","4.571335554122925","4.550663948059082","4.592007160186768"
"275","549.5","549","550","4.5472517013549805","4.501099109649658","4.593404293060303"
"276","551.5","551","552","4.583580017089844","4.524872779846191","4.642287254333496"
"277","553.5","553","554","4.535722255706787","4.501283168792725","4.57016134262085"
"278","555.5","555","556","4.536731481552124","4.5217604637146","4.551702499389648"
"279","557.5","557","558","4.4727702140808105","4.452309608459473","4.493230819702148"
"280","559.5","559","560","4.5075364112854","4.4805588722229","4.5345139503479"
"281","561.5","561","562","4.517139434814453","4.467924118041992","4.566354751586914"
"282","563.5","563","564","4.5747230052948","4.53721284866333","4.6122331619262695"
"283","565.5","565","566","4.5044472217559814","4.476912975311279","4.531981468200684"
"284","567.5","567","568","4.557427644729614","4.516002655029297","4.598852634429932"
"285","569.5","569","570","4.5035786628723145","4.49668025970459","4.510477066040039"
"286","571.5","571","572","4.569439649581909","4.543702125549316","4.595177173614502"
"287","573.5","573","574","4.536217212677002","4.500870704650879","4.571563720703125"
"288","575.5","575","576","4.461770534515381","4.4146223068237305","4.508918762207031"
"289","577.5","577","578","4.545016288757324","4.5309553146362305","4.559077262878418"
"290","579.5","579","580","4.5491392612457275","4.531668663024902","4.566609859466553"
"291","581.5","581","582","4.536405801773071","4.499079704284668","4.573731899261475"
"292","583.5","583","584","4.519519329071045","4.486806869506836","4.552231788635254"
"293","585.5","585","586","4.5338335037231445","4.528354167938232","4.539312839508057"
"294","587.5","587","588","4.464118242263794","4.382558822631836","4.545677661895752"
"295","589.5","589","590","4.516560316085815","4.5037760734558105","4.52934455871582"
"296","591.5","591","592","4.505680799484253","4.480189800262451","4.531171798706055"
"297","593.5","593","594","4.473712921142578","4.470046520233154","4.477379322052002"
"298","595.5","595","596","4.491539716720581","4.463416576385498","4.519662857055664"
"299","597.5","597","598","4.529419660568237","4.495482921600342","4.563356399536133"
"300","599.5","599","600","4.507411479949951","4.4726409912109375","4.542181968688965"
"301","601.5","601","602","4.496389150619507","4.448068618774414","4.5447096824646"
"302","603.5","603","604","4.493081569671631","4.454526901245117","4.5316362380981445"
"303","605.5","605","606","4.479735851287842","4.455254554748535","4.504217147827148"
"304","607.5","607","608","4.511467933654785","4.488701820373535","4.534234046936035"
"305","609.5","609","610","4.5361645221710205","4.507499694824219","4.564829349517822"
"306","611.5","611","612","4.463560342788696","4.450939655303955","4.4761810302734375"
"307","613.5","613","614","4.478647470474243","4.437845706939697","4.519449234008789"
"308","615.5","615","616","4.504024267196655","4.478773593902588","4.529274940490723"
"309","617.5","617","618","4.502869606018066","4.438206672668457","4.567532539367676"
"310","619.5","619","620","4.482879161834717","4.420053005218506","4.545705318450928"
"311","621.5","621","622","4.4864373207092285","4.463631629943848","4.509243011474609"
"312","623.5","623","624","4.458882808685303","4.449087142944336","4.4686784744262695"
"313","625.5","625","626","4.4318883419036865","4.40536642074585","4.458410263061523"
"314","627.5","627","628","4.4313836097717285","4.418018341064453","4.444748878479004"
"315","629.5","629","630","4.367132902145386","4.365569591522217","4.368696212768555"
"316","631.5","631","632","4.469486951828003","4.453656196594238","4.485317707061768"
"317","633.5","633","634","4.452705144882202","4.409745216369629","4.495665073394775"
"318","635.5","635","636","4.450894355773926","4.414580345153809","4.487208366394043"
"319","637.5","637","638","4.430040121078491","4.362570762634277","4.497509479522705"
"320","639.5","639","640","4.4503326416015625","4.4018096923828125","4.4988555908203125"
"321","641.5","641","642","4.401581525802612","4.380420684814453","4.4227423667907715"
"322","643.5","643","644","4.4501214027404785","4.439254283905029","4.460988521575928"
"323","645.5","645","646","4.4447033405303955","4.411893844604492","4.477512836456299"
"324","647.5","647","648","4.380116701126099","4.337212085723877","4.42302131652832"
"325","649.5","649","650","4.376737117767334","4.369809627532959","4.383664608001709"
"326","651.5","651","652","4.419480323791504","4.348620414733887","4.490340232849121"
"327","653.5","653","654","4.4270241260528564","4.391717910766602","4.462330341339111"
"328","655.5","655","656","4.3909547328948975","4.350379467010498","4.431529998779297"
"329","657.5","657","658","4.394605398178101","4.363816738128662","4.425394058227539"
"330","659.5","659","660","4.3469624519348145","4.324665546417236","4.369259357452393"
"331","661.5","661","662","4.393742322921753","4.37191915512085","4.415565490722656"
"332","663.5","663","664","4.424515247344971","4.415390968322754","4.4336395263671875"
"333","665.5","665","666","4.400327920913696","4.387484550476074","4.413171291351318"
"334","667.5","667","668","4.452122211456299","4.422234535217285","4.4820098876953125"
"335","669.5","669","670","4.394622087478638","4.385622978210449","4.403621196746826"
"336","671.5","671","672","4.388682126998901","4.368772029876709","4.408592224121094"
"337","673.5","673","674","4.341316223144531","4.304499626159668","4.3781328201293945"
"338","675.5","675","676","4.4157326221466064","4.3639984130859375","4.467466831207275"
"339","677.5","677","678","4.3625898361206055","4.324145793914795","4.401033878326416"
"340","679.5","679","680","4.404942989349365","4.381732940673828","4.428153038024902"
"341","681.5","681","682","4.330023288726807","4.310092449188232","4.349954128265381"
"342","683.5","683","684","4.355619668960571","4.320487976074219","4.390751361846924"
"343","685.5","685","686","4.415385484695435","4.411780834197998","4.418990135192871"
"344","687.5","687","688","4.354601860046387","4.313617706298828","4.395586013793945"
"345","689.5","689","690","4.353544235229492","4.304662704467773","4.402425765991211"
"346","691.5","691","692","4.385350704193115","4.355195045471191","4.415506362915039"
"347","693.5","693","694","4.343717813491821","4.337404727935791","4.350030899047852"
"348","695.5","695","696","4.328601598739624","4.298579216003418","4.35862398147583"
"349","697.5","697","698","4.379057168960571","4.375925540924072","4.38218879699707"
"350","699.5","699","700","4.379861354827881","4.327126502990723","4.432596206665039"
"351","701.5","701","702","4.370245695114136","4.354328155517578","4.386163234710693"
"352","703.5","703","704","4.336249589920044","4.32499361038208","4.347505569458008"
"353","705.5","705","706","4.255037307739258","4.249171733856201","4.2609028816223145"
"354","707.5","707","708","4.284876585006714","4.228867053985596","4.340886116027832"
"355","709.5","709","710","4.3184709548950195","4.284581184387207","4.352360725402832"
"356","711.5","711","712","4.340264797210693","4.340244293212891","4.340285301208496"
"357","713.5","713","714","4.29504919052124","4.221022605895996","4.369075775146484"
"358","715.5","715","716","4.320056676864624","4.2652058601379395","4.374907493591309"
"359","717.5","717","718","4.338898181915283","4.311572074890137","4.36622428894043"
"360","719.5","719","720","4.329099893569946","4.302685737609863","4.355514049530029"
"361","721.5","721","722","4.324972152709961","4.303059101104736","4.3468852043151855"
"362","723.5","723","724","4.369306564331055","4.368727207183838","4.3698859214782715"
"363","725.5","725","726","4.290039777755737","4.242426872253418","4.337652683258057"
"364","727.5","727","728","4.321614980697632","4.314249515533447","4.328980445861816"
"365","729.5","729","730","4.262762069702148","4.182126998901367","4.34339714050293"
"366","731.5","731","732","4.336995601654053","4.3178324699401855","4.35615873336792"
"367","733.5","733","734","4.303974628448486","4.256750106811523","4.351199150085449"
