"total_tokens","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - val_loss_1","recur1b-mig-212 - val_loss_1__MIN","recur1b-mig-212 - val_loss_1__MAX","recur1b-mig-212 - val_loss_2","recur1b-mig-212 - val_loss_2__MIN","recur1b-mig-212 - val_loss_2__MAX","recur1b-mig-212 - val_loss_4","recur1b-mig-212 - val_loss_4__MIN","recur1b-mig-212 - val_loss_4__MAX","recur1b-mig-212 - val_loss_8","recur1b-mig-212 - val_loss_8__MIN","recur1b-mig-212 - val_loss_8__MAX","recur1b-mig-212 - val_loss_16","recur1b-mig-212 - val_loss_16__MIN","recur1b-mig-212 - val_loss_16__MAX"
"905969664","863","863","863","5.592209339141846","5.592209339141846","5.592209339141846","4.77850866317749","4.77850866317749","4.77850866317749","4.369257926940918","4.369257926940918","4.369257926940918","4.2828192710876465","4.2828192710876465","4.2828192710876465","4.279654026031494","4.279654026031494","4.279654026031494"
"939524096","895","895","895","5.577861785888672","5.577861785888672","5.577861785888672","4.75223970413208","4.75223970413208","4.75223970413208","4.333709239959717","4.333709239959717","4.333709239959717","4.245069980621338","4.245069980621338","4.245069980621338","4.241678714752197","4.241678714752197","4.241678714752197"
"973078528","927","927","927","5.572569370269775","5.572569370269775","5.572569370269775","4.730282306671143","4.730282306671143","4.730282306671143","4.299928665161133","4.299928665161133","4.299928665161133","4.210207462310791","4.210207462310791","4.210207462310791","4.206634521484375","4.206634521484375","4.206634521484375"
"1006632960","959","959","959","5.564120292663574","5.564120292663574","5.564120292663574","4.709985733032227","4.709985733032227","4.709985733032227","4.269083499908447","4.269083499908447","4.269083499908447","4.1773834228515625","4.1773834228515625","4.1773834228515625","4.174088478088379","4.174088478088379","4.174088478088379"
"1040187392","991","991","991","5.558526039123535","5.558526039123535","5.558526039123535","4.689865589141846","4.689865589141846","4.689865589141846","4.242372512817383","4.242372512817383","4.242372512817383","4.148171901702881","4.148171901702881","4.148171901702881","4.14472770690918","4.14472770690918","4.14472770690918"
"1073741824","1023","1023","1023","5.5334882736206055","5.5334882736206055","5.5334882736206055","4.657895088195801","4.657895088195801","4.657895088195801","4.202121734619141","4.202121734619141","4.202121734619141","4.107204914093018","4.107204914093018","4.107204914093018","4.103780269622803","4.103780269622803","4.103780269622803"
"1107296256","1055","1055","1055","5.519440650939941","5.519440650939941","5.519440650939941","4.631243705749512","4.631243705749512","4.631243705749512","4.167263984680176","4.167263984680176","4.167263984680176","4.072287559509277","4.072287559509277","4.072287559509277","4.0687055587768555","4.0687055587768555","4.0687055587768555"
"1140850688","1087","1087","1087","5.5119524002075195","5.5119524002075195","5.5119524002075195","4.609557151794434","4.609557151794434","4.609557151794434","4.136730194091797","4.136730194091797","4.136730194091797","4.041041374206543","4.041041374206543","4.041041374206543","4.037592887878418","4.037592887878418","4.037592887878418"
"1174405120","1119","1119","1119","5.504115104675293","5.504115104675293","5.504115104675293","4.582056045532227","4.582056045532227","4.582056045532227","4.102707862854004","4.102707862854004","4.102707862854004","4.007136821746826","4.007136821746826","4.007136821746826","4.003711700439453","4.003711700439453","4.003711700439453"
"1207959552","1151","1151","1151","5.503265857696533","5.503265857696533","5.503265857696533","4.559028625488281","4.559028625488281","4.559028625488281","4.071452617645264","4.071452617645264","4.071452617645264","3.976250648498535","3.976250648498535","3.976250648498535","3.9728803634643555","3.9728803634643555","3.9728803634643555"
