"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - word_embed_l2_param_norm","recur1b-mig-234 - word_embed_l2_param_norm__MIN","recur1b-mig-234 - word_embed_l2_param_norm__MAX"
"1474","87","87","87","151.40017700195312","151.40017700195312","151.40017700195312"
"1475","89","89","89","151.40794372558594","151.40794372558594","151.40794372558594"
"1476","91","91","91","151.41656494140625","151.41656494140625","151.41656494140625"
"1477","93","93","93","151.42349243164062","151.42349243164062","151.42349243164062"
"1478","95","95","95","151.43251037597656","151.43251037597656","151.43251037597656"
"1479","97","97","97","151.43792724609375","151.43792724609375","151.43792724609375"
"1480","99","99","99","151.44593811035156","151.44593811035156","151.44593811035156"
"1481","101","101","101","151.45286560058594","151.45286560058594","151.45286560058594"
"1482","103","103","103","151.45999145507812","151.45999145507812","151.45999145507812"
"1483","105","105","105","151.4681854248047","151.4681854248047","151.4681854248047"
"1484","107","107","107","151.474609375","151.474609375","151.474609375"
"1485","109","109","109","151.4821319580078","151.4821319580078","151.4821319580078"
"1486","111","111","111","151.48919677734375","151.48919677734375","151.48919677734375"
"1487","113","113","113","151.4958038330078","151.4958038330078","151.4958038330078"
"1488","115","115","115","151.5023651123047","151.5023651123047","151.5023651123047"
"1489","117","117","117","151.5093536376953","151.5093536376953","151.5093536376953"
"1490","119","119","119","151.51483154296875","151.51483154296875","151.51483154296875"
"1491","121","121","121","151.52349853515625","151.52349853515625","151.52349853515625"
"1492","123","123","123","151.52865600585938","151.52865600585938","151.52865600585938"
"1493","125","125","125","151.53497314453125","151.53497314453125","151.53497314453125"
"1494","127","127","127","151.5426483154297","151.5426483154297","151.5426483154297"
"1495","129","129","129","151.54745483398438","151.54745483398438","151.54745483398438"
"1496","131","131","131","151.55435180664062","151.55435180664062","151.55435180664062"
"1497","133","133","133","151.5619659423828","151.5619659423828","151.5619659423828"
"1498","135","135","135","151.56825256347656","151.56825256347656","151.56825256347656"
"1499","137","137","137","151.57496643066406","151.57496643066406","151.57496643066406"
"1500","139","139","139","151.58119201660156","151.58119201660156","151.58119201660156"
"1501","141","141","141","151.58888244628906","151.58888244628906","151.58888244628906"
"1502","143","143","143","151.5936737060547","151.5936737060547","151.5936737060547"
"1503","145","145","145","151.6017608642578","151.6017608642578","151.6017608642578"
"1504","147","147","147","151.6083526611328","151.6083526611328","151.6083526611328"
"1505","149","149","149","151.6135711669922","151.6135711669922","151.6135711669922"
"1506","151","151","151","151.62081909179688","151.62081909179688","151.62081909179688"
"1507","153","153","153","151.62600708007812","151.62600708007812","151.62600708007812"
"1508","155","155","155","151.63235473632812","151.63235473632812","151.63235473632812"
"1509","157","157","157","151.63833618164062","151.63833618164062","151.63833618164062"
"1510","159","159","159","151.6447296142578","151.6447296142578","151.6447296142578"
"1511","161","161","161","151.65089416503906","151.65089416503906","151.65089416503906"
"1512","163","163","163","151.65708923339844","151.65708923339844","151.65708923339844"
"1513","165","165","165","151.66290283203125","151.66290283203125","151.66290283203125"
"1514","167","167","167","151.66944885253906","151.66944885253906","151.66944885253906"
"1515","169","169","169","151.675537109375","151.675537109375","151.675537109375"
"1516","171","171","171","151.68255615234375","151.68255615234375","151.68255615234375"
"1517","173","173","173","151.68792724609375","151.68792724609375","151.68792724609375"
"1518","175","175","175","151.69522094726562","151.69522094726562","151.69522094726562"
"1519","177","177","177","151.70156860351562","151.70156860351562","151.70156860351562"
"1520","179","179","179","151.70828247070312","151.70828247070312","151.70828247070312"
"1521","181","181","181","151.7149200439453","151.7149200439453","151.7149200439453"
"1522","183","183","183","151.7213134765625","151.7213134765625","151.7213134765625"
"1523","185","185","185","151.7279052734375","151.7279052734375","151.7279052734375"
"1524","187","187","187","151.73358154296875","151.73358154296875","151.73358154296875"
"1525","189","189","189","151.74078369140625","151.74078369140625","151.74078369140625"
"1526","191","191","191","151.74667358398438","151.74667358398438","151.74667358398438"
"1527","193","193","193","151.754150390625","151.754150390625","151.754150390625"
"1528","195","195","195","151.75997924804688","151.75997924804688","151.75997924804688"
"1529","197","197","197","151.7674560546875","151.7674560546875","151.7674560546875"
"1530","199","199","199","151.773681640625","151.773681640625","151.773681640625"
"1531","201","201","201","151.78021240234375","151.78021240234375","151.78021240234375"
"1532","203","203","203","151.78744506835938","151.78744506835938","151.78744506835938"
"1533","205","205","205","151.793212890625","151.793212890625","151.793212890625"
"1534","207","207","207","151.80064392089844","151.80064392089844","151.80064392089844"
"1535","209","209","209","151.8056640625","151.8056640625","151.8056640625"
"1536","211","211","211","151.81332397460938","151.81332397460938","151.81332397460938"
"1537","213","213","213","151.81954956054688","151.81954956054688","151.81954956054688"
"1538","215","215","215","151.82530212402344","151.82530212402344","151.82530212402344"
"1539","217","217","217","151.83209228515625","151.83209228515625","151.83209228515625"
"1540","219","219","219","151.83738708496094","151.83738708496094","151.83738708496094"
"1541","221","221","221","151.84356689453125","151.84356689453125","151.84356689453125"
"1542","223","223","223","151.8489990234375","151.8489990234375","151.8489990234375"
"1543","225","225","225","151.8551025390625","151.8551025390625","151.8551025390625"
"1544","227","227","227","151.8612518310547","151.8612518310547","151.8612518310547"
"1545","229","229","229","151.86715698242188","151.86715698242188","151.86715698242188"
"1546","231","231","231","151.87289428710938","151.87289428710938","151.87289428710938"
"1547","233","233","233","151.8795928955078","151.8795928955078","151.8795928955078"
"1548","235","235","235","151.88546752929688","151.88546752929688","151.88546752929688"
"1549","237","237","237","151.8916473388672","151.8916473388672","151.8916473388672"
"1550","239","239","239","151.8963623046875","151.8963623046875","151.8963623046875"
"1551","241","241","241","151.9028778076172","151.9028778076172","151.9028778076172"
"1552","243","243","243","151.90887451171875","151.90887451171875","151.90887451171875"
"1553","245","245","245","151.91445922851562","151.91445922851562","151.91445922851562"
"1554","247","247","247","151.92071533203125","151.92071533203125","151.92071533203125"
"1555","249","249","249","151.92701721191406","151.92701721191406","151.92701721191406"
"1556","251","251","251","151.93370056152344","151.93370056152344","151.93370056152344"
"1557","253","253","253","151.93844604492188","151.93844604492188","151.93844604492188"
"1558","255","255","255","151.94613647460938","151.94613647460938","151.94613647460938"
"1559","257","257","257","151.95179748535156","151.95179748535156","151.95179748535156"
"1560","259","259","259","151.95787048339844","151.95787048339844","151.95787048339844"
"1561","261","261","261","151.96437072753906","151.96437072753906","151.96437072753906"
"1562","263","263","263","151.9699249267578","151.9699249267578","151.9699249267578"
"1563","265","265","265","151.97683715820312","151.97683715820312","151.97683715820312"
"1564","267","267","267","151.9818878173828","151.9818878173828","151.9818878173828"
"1565","269","269","269","151.9884033203125","151.9884033203125","151.9884033203125"
"1566","271","271","271","151.99411010742188","151.99411010742188","151.99411010742188"
"1567","273","273","273","151.99960327148438","151.99960327148438","151.99960327148438"
"1568","275","275","275","152.00608825683594","152.00608825683594","152.00608825683594"
"1569","277","277","277","152.01112365722656","152.01112365722656","152.01112365722656"
"1570","279","279","279","152.01773071289062","152.01773071289062","152.01773071289062"
"1571","281","281","281","152.0220489501953","152.0220489501953","152.0220489501953"
"1572","283","283","283","152.02806091308594","152.02806091308594","152.02806091308594"
"1573","285","285","285","152.0335693359375","152.0335693359375","152.0335693359375"
"1574","287","287","287","152.03916931152344","152.03916931152344","152.03916931152344"
"1575","289","289","289","152.0451202392578","152.0451202392578","152.0451202392578"
"1576","291","291","291","152.04995727539062","152.04995727539062","152.04995727539062"
"1577","293","293","293","152.0560302734375","152.0560302734375","152.0560302734375"
"1578","295","295","295","152.06106567382812","152.06106567382812","152.06106567382812"
"1579","297","297","297","152.06700134277344","152.06700134277344","152.06700134277344"
"1580","299","299","299","152.072265625","152.072265625","152.072265625"
"1581","301","301","301","152.07789611816406","152.07789611816406","152.07789611816406"
"1582","303","303","303","152.08445739746094","152.08445739746094","152.08445739746094"
"1583","305","305","305","152.08978271484375","152.08978271484375","152.08978271484375"
"1584","307","307","307","152.09530639648438","152.09530639648438","152.09530639648438"
"1585","309","309","309","152.10067749023438","152.10067749023438","152.10067749023438"
"1586","311","311","311","152.10598754882812","152.10598754882812","152.10598754882812"
"1587","313","313","313","152.11245727539062","152.11245727539062","152.11245727539062"
"1588","315","315","315","152.11729431152344","152.11729431152344","152.11729431152344"
"1589","317","317","317","152.1230010986328","152.1230010986328","152.1230010986328"
"1590","319","319","319","152.1282501220703","152.1282501220703","152.1282501220703"
"1591","321","321","321","152.1334991455078","152.1334991455078","152.1334991455078"
"1592","323","323","323","152.1398468017578","152.1398468017578","152.1398468017578"
"1593","325","325","325","152.1448211669922","152.1448211669922","152.1448211669922"
"1594","327","327","327","152.1517333984375","152.1517333984375","152.1517333984375"
"1595","329","329","329","152.1566162109375","152.1566162109375","152.1566162109375"
"1596","331","331","331","152.16258239746094","152.16258239746094","152.16258239746094"
"1597","333","333","333","152.16920471191406","152.16920471191406","152.16920471191406"
"1598","335","335","335","152.17425537109375","152.17425537109375","152.17425537109375"
"1599","337","337","337","152.18017578125","152.18017578125","152.18017578125"
"1600","339","339","339","152.18576049804688","152.18576049804688","152.18576049804688"
"1601","341","341","341","152.19142150878906","152.19142150878906","152.19142150878906"
"1602","343","343","343","152.1977996826172","152.1977996826172","152.1977996826172"
"1603","345","345","345","152.20278930664062","152.20278930664062","152.20278930664062"
"1604","347","347","347","152.20921325683594","152.20921325683594","152.20921325683594"
"1605","349","349","349","152.21456909179688","152.21456909179688","152.21456909179688"
"1606","351","351","351","152.22093200683594","152.22093200683594","152.22093200683594"
"1607","353","353","353","152.2270965576172","152.2270965576172","152.2270965576172"
"1608","355","355","355","152.23252868652344","152.23252868652344","152.23252868652344"
"1609","357","357","357","152.23880004882812","152.23880004882812","152.23880004882812"
"1610","359","359","359","152.2449188232422","152.2449188232422","152.2449188232422"
"1611","361","361","361","152.2503204345703","152.2503204345703","152.2503204345703"
"1612","363","363","363","152.25631713867188","152.25631713867188","152.25631713867188"
"1613","365","365","365","152.2617950439453","152.2617950439453","152.2617950439453"
"1614","367","367","367","152.26795959472656","152.26795959472656","152.26795959472656"
"1615","369","369","369","152.2720947265625","152.2720947265625","152.2720947265625"
"1616","371","371","371","152.2780303955078","152.2780303955078","152.2780303955078"
"1617","373","373","373","152.2830352783203","152.2830352783203","152.2830352783203"
"1618","375","375","375","152.28819274902344","152.28819274902344","152.28819274902344"
"1619","377","377","377","152.2931365966797","152.2931365966797","152.2931365966797"
"1620","379","379","379","152.29759216308594","152.29759216308594","152.29759216308594"
"1621","381","381","381","152.3026885986328","152.3026885986328","152.3026885986328"
"1622","383","383","383","152.30628967285156","152.30628967285156","152.30628967285156"
"1623","385","385","385","152.3111572265625","152.3111572265625","152.3111572265625"
"1624","387","387","387","152.31515502929688","152.31515502929688","152.31515502929688"
"1625","389","389","389","152.31944274902344","152.31944274902344","152.31944274902344"
"1626","391","391","391","152.32374572753906","152.32374572753906","152.32374572753906"
"1627","393","393","393","152.3277130126953","152.3277130126953","152.3277130126953"
"1628","395","395","395","152.33145141601562","152.33145141601562","152.33145141601562"
"1629","397","397","397","152.3355712890625","152.3355712890625","152.3355712890625"
"1630","399","399","399","152.3394775390625","152.3394775390625","152.3394775390625"
"1631","401","401","401","152.3441162109375","152.3441162109375","152.3441162109375"
"1632","403","403","403","152.34689331054688","152.34689331054688","152.34689331054688"
"1633","405","405","405","152.35121154785156","152.35121154785156","152.35121154785156"
"1634","407","407","407","152.35415649414062","152.35415649414062","152.35415649414062"
"1635","409","409","409","152.35885620117188","152.35885620117188","152.35885620117188"
"1636","411","411","411","152.36192321777344","152.36192321777344","152.36192321777344"
"1637","413","413","413","152.36444091796875","152.36444091796875","152.36444091796875"
"1638","415","415","415","152.36888122558594","152.36888122558594","152.36888122558594"
"1639","417","417","417","152.37181091308594","152.37181091308594","152.37181091308594"
"1640","419","419","419","152.37576293945312","152.37576293945312","152.37576293945312"
"1641","421","421","421","152.37911987304688","152.37911987304688","152.37911987304688"
"1642","423","423","423","152.38267517089844","152.38267517089844","152.38267517089844"
"1643","425","425","425","152.38645935058594","152.38645935058594","152.38645935058594"
"1644","427","427","427","152.38954162597656","152.38954162597656","152.38954162597656"
"1645","429","429","429","152.3937530517578","152.3937530517578","152.3937530517578"
"1646","431","431","431","152.39707946777344","152.39707946777344","152.39707946777344"
"1647","433","433","433","152.40005493164062","152.40005493164062","152.40005493164062"
"1648","435","435","435","152.404296875","152.404296875","152.404296875"
"1649","437","437","437","152.40814208984375","152.40814208984375","152.40814208984375"
"1650","439","439","439","152.4121856689453","152.4121856689453","152.4121856689453"
"1651","441","441","441","152.41519165039062","152.41519165039062","152.41519165039062"
"1652","443","443","443","152.4197998046875","152.4197998046875","152.4197998046875"
"1653","445","445","445","152.42303466796875","152.42303466796875","152.42303466796875"
"1654","447","447","447","152.427490234375","152.427490234375","152.427490234375"
"1655","449","449","449","152.4306182861328","152.4306182861328","152.4306182861328"
"1656","451","451","451","152.43453979492188","152.43453979492188","152.43453979492188"
"1657","453","453","453","152.43833923339844","152.43833923339844","152.43833923339844"
"1658","455","455","455","152.44204711914062","152.44204711914062","152.44204711914062"
"1659","457","457","457","152.44583129882812","152.44583129882812","152.44583129882812"
"1660","459","459","459","152.44879150390625","152.44879150390625","152.44879150390625"
"1661","461","461","461","152.45343017578125","152.45343017578125","152.45343017578125"
"1662","463","463","463","152.4566650390625","152.4566650390625","152.4566650390625"
"1663","465","465","465","152.46115112304688","152.46115112304688","152.46115112304688"
"1664","467","467","467","152.4647979736328","152.4647979736328","152.4647979736328"
"1665","469","469","469","152.46859741210938","152.46859741210938","152.46859741210938"
"1666","471","471","471","152.47293090820312","152.47293090820312","152.47293090820312"
"1667","473","473","473","152.47642517089844","152.47642517089844","152.47642517089844"
"1668","475","475","475","152.4811248779297","152.4811248779297","152.4811248779297"
"1669","477","477","477","152.4847412109375","152.4847412109375","152.4847412109375"
"1670","479","479","479","152.48886108398438","152.48886108398438","152.48886108398438"
"1671","481","481","481","152.49337768554688","152.49337768554688","152.49337768554688"
"1672","483","483","483","152.49697875976562","152.49697875976562","152.49697875976562"
"1673","485","485","485","152.50131225585938","152.50131225585938","152.50131225585938"
"1674","487","487","487","152.50506591796875","152.50506591796875","152.50506591796875"
"1675","489","489","489","152.50965881347656","152.50965881347656","152.50965881347656"
"1676","491","491","491","152.513427734375","152.513427734375","152.513427734375"
"1677","493","493","493","152.5174102783203","152.5174102783203","152.5174102783203"
"1678","495","495","495","152.52023315429688","152.52023315429688","152.52023315429688"
"1679","497","497","497","152.524658203125","152.524658203125","152.524658203125"
"1680","499","499","499","152.52781677246094","152.52781677246094","152.52781677246094"
"1681","501","501","501","152.53109741210938","152.53109741210938","152.53109741210938"
"1682","503","503","503","152.5356903076172","152.5356903076172","152.5356903076172"
"1683","505","505","505","152.5392303466797","152.5392303466797","152.5392303466797"
"1684","507","507","507","152.54287719726562","152.54287719726562","152.54287719726562"
"1685","509","509","509","152.54685974121094","152.54685974121094","152.54685974121094"
"1686","511","511","511","152.55026245117188","152.55026245117188","152.55026245117188"
"1687","513","513","513","152.55419921875","152.55419921875","152.55419921875"
"1688","515","515","515","152.55787658691406","152.55787658691406","152.55787658691406"
"1689","517","517","517","152.561767578125","152.561767578125","152.561767578125"
"1690","519","519","519","152.56448364257812","152.56448364257812","152.56448364257812"
"1691","521","521","521","152.56854248046875","152.56854248046875","152.56854248046875"
"1692","523","523","523","152.57252502441406","152.57252502441406","152.57252502441406"
"1693","525","525","525","152.576171875","152.576171875","152.576171875"
"1694","527","527","527","152.57989501953125","152.57989501953125","152.57989501953125"
"1695","529","529","529","152.583251953125","152.583251953125","152.583251953125"
"1696","531","531","531","152.5878143310547","152.5878143310547","152.5878143310547"
"1697","533","533","533","152.59083557128906","152.59083557128906","152.59083557128906"
"1698","535","535","535","152.59483337402344","152.59483337402344","152.59483337402344"
"1699","537","537","537","152.59910583496094","152.59910583496094","152.59910583496094"
"1700","539","539","539","152.6023406982422","152.6023406982422","152.6023406982422"
"1701","541","541","541","152.60617065429688","152.60617065429688","152.60617065429688"
"1702","543","543","543","152.60928344726562","152.60928344726562","152.60928344726562"
"1703","545","545","545","152.61346435546875","152.61346435546875","152.61346435546875"
"1704","547","547","547","152.61688232421875","152.61688232421875","152.61688232421875"
"1705","549","549","549","152.62075805664062","152.62075805664062","152.62075805664062"
"1706","551","551","551","152.62457275390625","152.62457275390625","152.62457275390625"
"1707","553","553","553","152.6279296875","152.6279296875","152.6279296875"
"1708","555","555","555","152.631591796875","152.631591796875","152.631591796875"
"1709","557","557","557","152.63404846191406","152.63404846191406","152.63404846191406"
"1710","559","559","559","152.63815307617188","152.63815307617188","152.63815307617188"
"1711","561","561","561","152.64105224609375","152.64105224609375","152.64105224609375"
"1712","563","563","563","152.64512634277344","152.64512634277344","152.64512634277344"
"1713","565","565","565","152.64886474609375","152.64886474609375","152.64886474609375"
"1714","567","567","567","152.65281677246094","152.65281677246094","152.65281677246094"
"1715","569","569","569","152.65631103515625","152.65631103515625","152.65631103515625"
"1716","571","571","571","152.6601104736328","152.6601104736328","152.6601104736328"
"1717","573","573","573","152.6633758544922","152.6633758544922","152.6633758544922"
"1718","575","575","575","152.66729736328125","152.66729736328125","152.66729736328125"
"1719","577","577","577","152.67100524902344","152.67100524902344","152.67100524902344"
"1720","579","579","579","152.6743621826172","152.6743621826172","152.6743621826172"
"1721","581","581","581","152.6783447265625","152.6783447265625","152.6783447265625"
"1722","583","583","583","152.68235778808594","152.68235778808594","152.68235778808594"
"1723","585","585","585","152.68621826171875","152.68621826171875","152.68621826171875"
