"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - global_loss","recur1b-mig-234 - global_loss__MIN","recur1b-mig-234 - global_loss__MAX"
"1537","213.5","213","214","2.6171751022338867","2.5646796226501465","2.669670581817627"
"1538","215.5","215","216","2.676684260368347","2.6589810848236084","2.694387435913086"
"1539","217.5","217","218","2.6660268306732178","2.648732900619507","2.6833207607269287"
"1540","219.5","219","220","2.665481448173523","2.6444079875946045","2.6865549087524414"
"1541","221.5","221","222","2.661791443824768","2.6431026458740234","2.6804802417755127"
"1542","223.5","223","224","2.6410051584243774","2.5913877487182617","2.690622568130493"
"1543","225.5","225","226","2.5834755897521973","2.5733866691589355","2.593564510345459"
"1544","227.5","227","228","2.5001269578933716","2.423820734024048","2.5764331817626953"
"1545","229.5","229","230","2.6807154417037964","2.6573002338409424","2.7041306495666504"
"1546","231.5","231","232","2.6897391080856323","2.646855592727661","2.7326226234436035"
"1547","233.5","233","234","2.544351816177368","2.4288406372070312","2.659862995147705"
"1548","235.5","235","236","2.4804346561431885","2.4509429931640625","2.5099263191223145"
"1549","237.5","237","238","2.6857926845550537","2.6846933364868164","2.686892032623291"
"1550","239.5","239","240","2.583460569381714","2.566408634185791","2.6005125045776367"
"1551","241.5","241","242","2.604867458343506","2.4977481365203857","2.711986780166626"
"1552","243.5","243","244","2.5285266637802124","2.4752726554870605","2.5817806720733643"
"1553","245.5","245","246","2.549876570701599","2.504065752029419","2.5956873893737793"
"1554","247.5","247","248","2.5546239614486694","2.5457332134246826","2.5635147094726562"
"1555","249.5","249","250","2.576528310775757","2.5549283027648926","2.598128318786621"
"1556","251.5","251","252","2.5310986042022705","2.5004348754882812","2.5617623329162598"
"1557","253.5","253","254","2.6211384534835815","2.6037888526916504","2.6384880542755127"
"1558","255.5","255","256","2.5464999675750732","2.443006753921509","2.6499931812286377"
"1559","257.5","257","258","2.4406110048294067","2.437420129776001","2.4438018798828125"
"1560","259.5","259","260","2.43319571018219","2.3724944591522217","2.493896961212158"
"1561","261.5","261","262","2.4540932178497314","2.4518299102783203","2.4563565254211426"
"1562","263.5","263","264","2.529916763305664","2.493100166320801","2.5667333602905273"
"1563","265.5","265","266","2.4775102138519287","2.398892641067505","2.5561277866363525"
"1564","267.5","267","268","2.570605993270874","2.5151009559631348","2.6261110305786133"
"1565","269.5","269","270","2.4053808450698853","2.3526391983032227","2.458122491836548"
"1566","271.5","271","272","2.5171042680740356","2.468493700027466","2.5657148361206055"
"1567","273.5","273","274","2.5291731357574463","2.4598217010498047","2.598524570465088"
"1568","275.5","275","276","2.5179567337036133","2.4766182899475098","2.559295177459717"
"1569","277.5","277","278","2.4903650283813477","2.4248032569885254","2.55592679977417"
"1570","279.5","279","280","2.4785401821136475","2.388157844543457","2.568922519683838"
"1571","281.5","281","282","2.549695611000061","2.5476152896881104","2.5517759323120117"
"1572","283.5","283","284","2.441873788833618","2.412297248840332","2.4714503288269043"
"1573","285.5","285","286","2.4312939643859863","2.373307466506958","2.4892804622650146"
"1574","287.5","287","288","2.5182108879089355","2.4649457931518555","2.5714759826660156"
"1575","289.5","289","290","2.4174569845199585","2.350285291671753","2.484628677368164"
"1576","291.5","291","292","2.4823524951934814","2.452310085296631","2.512394905090332"
"1577","293.5","293","294","2.4687660932540894","2.4535892009735107","2.483942985534668"
