"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - val_loss_1","recur1b-mig-234 - val_loss_1__MIN","recur1b-mig-234 - val_loss_1__MAX","recur1b-mig-234 - val_loss_2","recur1b-mig-234 - val_loss_2__MIN","recur1b-mig-234 - val_loss_2__MAX","recur1b-mig-234 - val_loss_4","recur1b-mig-234 - val_loss_4__MIN","recur1b-mig-234 - val_loss_4__MAX","recur1b-mig-234 - val_loss_8","recur1b-mig-234 - val_loss_8__MIN","recur1b-mig-234 - val_loss_8__MAX","recur1b-mig-234 - val_loss_16","recur1b-mig-234 - val_loss_16__MIN","recur1b-mig-234 - val_loss_16__MAX"
"1440","19","19","19","6.240590572357178","6.240590572357178","6.240590572357178","5.546655654907227","5.546655654907227","5.546655654907227","5.073398590087891","5.073398590087891","5.073398590087891","5.004556179046631","5.004556179046631","5.004556179046631","5.005771160125732","5.005771160125732","5.005771160125732"
"1456","51","51","51","5.15853214263916","5.15853214263916","5.15853214263916","3.926323890686035","3.926323890686035","3.926323890686035","3.4861621856689453","3.4861621856689453","3.4861621856689453","3.415989637374878","3.415989637374878","3.415989637374878","3.413701057434082","3.413701057434082","3.413701057434082"
"1472","83","83","83","4.947731018066406","4.947731018066406","4.947731018066406","3.8093669414520264","3.8093669414520264","3.8093669414520264","3.3912017345428467","3.3912017345428467","3.3912017345428467","3.325244426727295","3.325244426727295","3.325244426727295","3.323225975036621","3.323225975036621","3.323225975036621"
"1488","115","115","115","4.89985990524292","4.89985990524292","4.89985990524292","3.775723695755005","3.775723695755005","3.775723695755005","3.3655505180358887","3.3655505180358887","3.3655505180358887","3.301466464996338","3.301466464996338","3.301466464996338","3.299422025680542","3.299422025680542","3.299422025680542"
"1504","147","147","147","4.884974479675293","4.884974479675293","4.884974479675293","3.7602784633636475","3.7602784633636475","3.7602784633636475","3.3542020320892334","3.3542020320892334","3.3542020320892334","3.292177200317383","3.292177200317383","3.292177200317383","3.2902157306671143","3.2902157306671143","3.2902157306671143"
"1520","179","179","179","4.873978614807129","4.873978614807129","4.873978614807129","3.748249053955078","3.748249053955078","3.748249053955078","3.348315477371216","3.348315477371216","3.348315477371216","3.2864389419555664","3.2864389419555664","3.2864389419555664","3.284640312194824","3.284640312194824","3.284640312194824"
"1536","211","211","211","4.8724365234375","4.8724365234375","4.8724365234375","3.7386927604675293","3.7386927604675293","3.7386927604675293","3.341838836669922","3.341838836669922","3.341838836669922","3.280933380126953","3.280933380126953","3.280933380126953","3.2790064811706543","3.2790064811706543","3.2790064811706543"
"1552","243","243","243","4.855524063110352","4.855524063110352","4.855524063110352","3.7368650436401367","3.7368650436401367","3.7368650436401367","3.3414647579193115","3.3414647579193115","3.3414647579193115","3.279811382293701","3.279811382293701","3.279811382293701","3.277865171432495","3.277865171432495","3.277865171432495"
"1568","275","275","275","4.853589057922363","4.853589057922363","4.853589057922363","3.728902816772461","3.728902816772461","3.728902816772461","3.3354008197784424","3.3354008197784424","3.3354008197784424","3.2751221656799316","3.2751221656799316","3.2751221656799316","3.273252010345459","3.273252010345459","3.273252010345459"
"1584","307","307","307","4.849811553955078","4.849811553955078","4.849811553955078","3.724696159362793","3.724696159362793","3.724696159362793","3.3355910778045654","3.3355910778045654","3.3355910778045654","3.275965690612793","3.275965690612793","3.275965690612793","3.2741289138793945","3.2741289138793945","3.2741289138793945"
"1600","339","339","339","4.842688083648682","4.842688083648682","4.842688083648682","3.7246294021606445","3.7246294021606445","3.7246294021606445","3.3348917961120605","3.3348917961120605","3.3348917961120605","3.275783061981201","3.275783061981201","3.275783061981201","3.274014472961426","3.274014472961426","3.274014472961426"
"1616","371","371","371","4.830156326293945","4.830156326293945","4.830156326293945","3.719980239868164","3.719980239868164","3.719980239868164","3.3324902057647705","3.3324902057647705","3.3324902057647705","3.2732226848602295","3.2732226848602295","3.2732226848602295","3.2714624404907227","3.2714624404907227","3.2714624404907227"
"1632","403","403","403","4.82877779006958","4.82877779006958","4.82877779006958","3.7134203910827637","3.7134203910827637","3.7134203910827637","3.3282365798950195","3.3282365798950195","3.3282365798950195","3.2696738243103027","3.2696738243103027","3.2696738243103027","3.2680487632751465","3.2680487632751465","3.2680487632751465"
"1648","435","435","435","4.805723190307617","4.805723190307617","4.805723190307617","3.7066702842712402","3.7066702842712402","3.7066702842712402","3.3233718872070312","3.3233718872070312","3.3233718872070312","3.26517391204834","3.26517391204834","3.26517391204834","3.263517141342163","3.263517141342163","3.263517141342163"
"1664","467","467","467","4.81626033782959","4.81626033782959","4.81626033782959","3.704777717590332","3.704777717590332","3.704777717590332","3.3216209411621094","3.3216209411621094","3.3216209411621094","3.2634191513061523","3.2634191513061523","3.2634191513061523","3.261706829071045","3.261706829071045","3.261706829071045"
"1680","499","499","499","4.8094801902771","4.8094801902771","4.8094801902771","3.6948208808898926","3.6948208808898926","3.6948208808898926","3.315584897994995","3.315584897994995","3.315584897994995","3.258197069168091","3.258197069168091","3.258197069168091","3.2565650939941406","3.2565650939941406","3.2565650939941406"
