"total_tokens","_step","_step__MIN","_step__MAX","val_loss_1","val_loss_1__MIN","val_loss_1__MAX","val_loss_2","val_loss_2__MIN","val_loss_2__MAX","val_loss_4","val_loss_4__MIN","val_loss_4__MAX","val_loss_8","val_loss_8__MIN","val_loss_8__MAX","val_loss_16","val_loss_16__MIN","val_loss_16__MAX"
"218103808","831","831","831","4.018124103546143","4.018124103546143","4.018124103546143","3.695690870285034","3.695690870285034","3.695690870285034","3.6235270500183105","3.6235270500183105","3.6235270500183105","3.6165952682495117","3.6165952682495117","3.6165952682495117","3.616483688354492","3.616483688354492","3.616483688354492"
"226492416","863","863","863","3.9854180812835693","3.9854180812835693","3.9854180812835693","3.671013116836548","3.671013116836548","3.671013116836548","3.6010098457336426","3.6010098457336426","3.6010098457336426","3.5955021381378174","3.5955021381378174","3.5955021381378174","3.5953025817871094","3.5953025817871094","3.5953025817871094"
"234881024","895","895","895","3.952570915222168","3.952570915222168","3.952570915222168","3.645348310470581","3.645348310470581","3.645348310470581","3.575425148010254","3.575425148010254","3.575425148010254","3.5692367553710938","3.5692367553710938","3.5692367553710938","3.5691018104553223","3.5691018104553223","3.5691018104553223"
"243269632","927","927","927","3.939913034439087","3.939913034439087","3.939913034439087","3.6339123249053955","3.6339123249053955","3.6339123249053955","3.5647783279418945","3.5647783279418945","3.5647783279418945","3.5581846237182617","3.5581846237182617","3.5581846237182617","3.5580461025238037","3.5580461025238037","3.5580461025238037"
"251658240","959","959","959","3.9084248542785645","3.9084248542785645","3.9084248542785645","3.6152501106262207","3.6152501106262207","3.6152501106262207","3.5467164516448975","3.5467164516448975","3.5467164516448975","3.5405988693237305","3.5405988693237305","3.5405988693237305","3.5406391620635986","3.5406391620635986","3.5406391620635986"
"260046848","991","991","991","3.9015746116638184","3.9015746116638184","3.9015746116638184","3.6012911796569824","3.6012911796569824","3.6012911796569824","3.533081531524658","3.533081531524658","3.533081531524658","3.5272161960601807","3.5272161960601807","3.5272161960601807","3.527233123779297","3.527233123779297","3.527233123779297"
"268435456","1023","1023","1023","3.8754124641418457","3.8754124641418457","3.8754124641418457","3.5845766067504883","3.5845766067504883","3.5845766067504883","3.5163087844848633","3.5163087844848633","3.5163087844848633","3.5099992752075195","3.5099992752075195","3.5099992752075195","3.5098648071289062","3.5098648071289062","3.5098648071289062"
"276824064","1055","1055","1055","3.8471553325653076","3.8471553325653076","3.8471553325653076","3.568695068359375","3.568695068359375","3.568695068359375","3.5015788078308105","3.5015788078308105","3.5015788078308105","3.4950008392333984","3.4950008392333984","3.4950008392333984","3.49495530128479","3.49495530128479","3.49495530128479"
"285212672","1087","1087","1087","3.846971035003662","3.846971035003662","3.846971035003662","3.555202007293701","3.555202007293701","3.555202007293701","3.484470844268799","3.484470844268799","3.484470844268799","3.478536367416382","3.478536367416382","3.478536367416382","3.4785380363464355","3.4785380363464355","3.4785380363464355"
"293601280","1119","1119","1119","3.834263563156128","3.834263563156128","3.834263563156128","3.5419552326202393","3.5419552326202393","3.5419552326202393","3.474400758743286","3.474400758743286","3.474400758743286","3.4684765338897705","3.4684765338897705","3.4684765338897705","3.4682371616363525","3.4682371616363525","3.4682371616363525"
